subscribers,enriched_at,channel_name,channel_url,videos,estimated_monthly_earnings,avg_video_duration,scraped_at,total_views,rank
58400000,2026-02-13T20:56:16.693839+00:00,Marshmello,https://vidiq.com/fr/youtube-stats/channel/UCEdvpU2pFRCVqU6yIPyTpMQ/,555,$345K - $1M,3 min,2026-02-13T20:51:37.149950,17510000000,65
58100000,2026-02-13T20:56:21.573767+00:00,JioHotstar Kids,https://vidiq.com/fr/youtube-stats/channel/UCJg19noZp7-BYIGvypu_cow/,3190,$357K - $1M,25 min,2026-02-13T20:51:37.149950,17000000000,66
58100000,2026-02-13T20:56:25.863688+00:00,Billion Surprise Toys,https://vidiq.com/fr/youtube-stats/channel/UCRx3mKNUdl8QE06nEug7p6Q/,1950,$0 - $0,103 min,2026-02-13T20:51:37.149950,14730000000,67
57900000,2026-02-13T20:56:30.006058+00:00,Mikecrack,https://vidiq.com/fr/youtube-stats/channel/UCqJ5zFEED1hWs0KNQCQuYdQ/,2230,$80K - $241K,31 min,2026-02-13T20:51:37.149950,21480000000,68
57700000,2026-02-13T20:56:35.443495+00:00,Billie Eilish,https://vidiq.com/fr/youtube-stats/channel/UCiGm_E4ZwYSHV3bcW1pnSeQ/,182,$260K - $780K,5 min,2026-02-13T20:51:37.149950,21720000000,69
57600000,2026-02-13T20:56:39.302900+00:00,Alfredo Larin,https://vidiq.com/fr/youtube-stats/channel/UCd5ApCORQsMOZZz5E9oVeFA/,2140,$2M - $5M,12 min,2026-02-13T20:51:37.149950,58930000000,70
57100000,2026-02-13T20:56:43.107716+00:00,Get Movies,https://vidiq.com/fr/youtube-stats/channel/UClZkHt2kNIgyrTTPnSQV3SA/,4290,$247K - $740K,36 min,2026-02-13T20:51:37.149950,37700000000,71
56900000,2026-02-13T20:56:47.905899+00:00,Ariana Grande,https://vidiq.com/fr/youtube-stats/channel/UC9CoOnJkIBMdeijd9qYoT_g/,231,$0 - $0,5 min,2026-02-13T20:51:37.149950,30940000000,72
56300000,2026-02-13T20:56:52.531475+00:00,StarPlus,https://vidiq.com/fr/youtube-stats/channel/UC-LPIU24bQXVljUXivKEeRQ/,128289,$365K - $1M,25 min,2026-02-13T20:51:37.149950,64970000000,73
55800000,2026-02-13T20:56:56.019017+00:00,MrBeast 2,https://vidiq.com/fr/youtube-stats/channel/UC4-79UOlP48-QNGgCko5p2g/,206,$422K - $1M,15 min,2026-02-13T20:51:37.149950,9830000000,74
55500000,2026-02-13T20:56:59.437789+00:00,shfa,https://vidiq.com/fr/youtube-stats/channel/UCwHE1kM1CPJd_pI9FQ0-4dg/,1350,$813K - $2M,10 min,2026-02-13T20:51:37.149950,35330000000,75
55500000,2026-02-13T20:57:04.613572+00:00,Juan De Dios Pantoja,https://vidiq.com/fr/youtube-stats/channel/UCzoUWqjCbcfWFdOMvoep8FA/,495,$122K - $367K,26 min,2026-02-13T20:51:37.149950,9060000000,76
54900000,2026-02-13T20:57:09.539015+00:00,JuegaGerman,https://vidiq.com/fr/youtube-stats/channel/UCYiGq8XF7YQD00x7wAd62Zg/,2420,$90K - $269K,38 min,2026-02-13T20:51:37.149950,18010000000,77
54600000,2026-02-13T20:57:13.798172+00:00,ABS-CBN Entertainment,https://vidiq.com/fr/youtube-stats/channel/UCstEtN0pgOmCf02EdXsGChw/,253100,$273K - $819K,13 min,2026-02-13T20:51:37.149950,58510000000,78
54600000,2026-02-13T20:57:17.596932+00:00,Masha and The Bear,https://vidiq.com/fr/youtube-stats/channel/UCu59yAFE8fM0sVNTipR4edw/,2220,$668K - $2M,43 min,2026-02-13T20:51:37.149950,35420000000,79
54400000,2026-02-13T20:57:22.691763+00:00,Celine Dept,https://vidiq.com/fr/youtube-stats/channel/UC1a2ZCw7tugRZYRMnecNj3A/,2009,$1M - $3M,20 min,2026-02-13T20:51:37.149950,50230000000,80
54300000,2026-02-13T20:57:27.153610+00:00,Jess No Limit,https://vidiq.com/fr/youtube-stats/channel/UCvh1at6xpV1ytYOAzxmqUsA/,2780,$13K - $38K,17 min,2026-02-13T20:51:37.149950,7150000000,81
54100000,2026-02-13T20:57:30.977074+00:00,MrBeast Gaming,https://vidiq.com/fr/youtube-stats/channel/UCIPPMRA040LQr5QPyJEbmXA/,166,$127K - $380K,22 min,2026-02-13T20:51:37.149950,10240000000,82
53600000,2026-02-13T20:57:35.332182+00:00,HUM TV,https://vidiq.com/fr/youtube-stats/channel/UCEeEQxm6qc_qaTE7qTV5aLQ/,202100,$803K - $2M,8 min,2026-02-13T20:51:37.149950,50310000000,83
53500000,2026-02-13T20:57:39.941014+00:00,LUCCAS NETO,https://vidiq.com/fr/youtube-stats/channel/UC_gV70G_Y51LTa3qhu8KiEA/,4910,$117K - $351K,17 min,2026-02-13T20:51:37.149950,15140000000,84
53100000,2026-02-13T20:57:43.661512+00:00,shfa2 - شفا,https://vidiq.com/fr/youtube-stats/channel/UCQ7x25F6YXY9DvGeHFxLhRQ/,2029,$831K - $2M,36 min,2026-02-13T20:51:37.149950,36910000000,85
52800000,2026-02-13T20:57:47.520484+00:00,Ishtar Music,https://vidiq.com/fr/youtube-stats/channel/UCWi_65E_L8tQZ34C6wVAlpQ/,6150,$608K - $2M,12 min,2026-02-13T20:51:37.149950,27510000000,86
52600000,2026-02-13T20:57:51.720367+00:00,Real fools shorts official,https://vidiq.com/fr/youtube-stats/channel/UCgKEvLp8DXCTMq4QY6wW7bw/,539,$108K - $325K,2 min,2026-02-13T20:51:37.149950,18870000000,87
52000000,2026-02-13T20:57:55.913423+00:00,Bad Bunny,https://vidiq.com/fr/youtube-stats/channel/UCmBA_wu8xGg1OfOkfW13Q0Q/,190,$1M - $3M,4 min,2026-02-13T20:51:37.149950,45450000000,88
51900000,2026-02-13T20:58:01.234068+00:00,T-Series Bollywood Classics,https://vidiq.com/fr/youtube-stats/channel/UCRm96I5kmb_iGFofE5N691w/,2820,$761K - $2M,19 min,2026-02-13T20:51:37.149950,38430000000,89
51900000,2026-02-13T20:58:05.148075+00:00,BETER BÖCÜK,https://vidiq.com/fr/youtube-stats/channel/UC6gVx_vALsYT-z_u1djJbBQ/,2029,$390K - $1M,16 min,2026-02-13T20:51:37.149950,15180000000,90
50900000,2026-02-13T20:58:10.550396+00:00,IShowSpeed,https://vidiq.com/fr/youtube-stats/channel/UCWsDFcIhY2DBi3GB5uykGXA/,1790,$701K - $2M,16 min,2026-02-13T20:51:37.149950,7210000000,91
50200000,2026-02-13T20:58:14.255578+00:00,IndiaTV,https://vidiq.com/fr/youtube-stats/channel/UCttspZesZIDEwwpVIgoZtWQ/,385520,$2M - $6M,10 min,2026-02-13T20:51:37.149950,32680000000,92
50100000,2026-02-13T20:58:19.517863+00:00,Sierra & Rhia FAM,https://vidiq.com/fr/youtube-stats/channel/UCe6n0z9UbsxYCS8P83f84tw/,2110,$7M - $20M,2 min,2026-02-13T20:51:37.149950,84620000000,93
50100000,2026-02-13T20:58:23.650126+00:00,Maria Clara & JP,https://vidiq.com/fr/youtube-stats/channel/UCKe6w0exI94U-RzqAyoY1VA/,1140,$444K - $1M,19 min,2026-02-13T20:51:37.149950,34630000000,94
50000000,2026-02-13T20:58:28.845311+00:00,PowerKids TV,https://vidiq.com/fr/youtube-stats/channel/UCj-SWZSE0AmotGSQ3apROHw/,9100,$573K - $2M,12 min,2026-02-13T20:51:37.149950,30200000000,95
50000000,2026-02-13T20:58:32.800178+00:00,ABP NEWS,https://vidiq.com/fr/youtube-stats/channel/UCRWFSbif-RFENbBrSiez1DA/,537040,$1M - $3M,13 min,2026-02-13T20:51:37.149950,24630000000,96
50000000,2026-02-13T20:58:37.579191+00:00,Fernanfloo,https://vidiq.com/fr/youtube-stats/channel/UCV4xOVpbcV8SdueDCOxLXtQ/,573,$32K - $97K,21 min,2026-02-13T20:51:37.149950,11020000000,97
49800000,2026-02-13T20:58:42.158757+00:00,Shakira,https://vidiq.com/fr/youtube-stats/channel/UCYLNGLIzMhRTi6ZOLjAPSmw/,398,$419K - $1M,2 min,2026-02-13T20:51:37.149950,35260000000,98
49800000,2026-02-13T20:58:47.598402+00:00,Dushyant kukreja,https://vidiq.com/fr/youtube-stats/channel/UCo6y9hnRawAqtyWhRhblXqg/,1720,$356K - $1M,7 min,2026-02-13T20:51:37.149950,34030000000,99
49800000,2026-02-13T20:58:52.212951+00:00,Techno Gamerz,https://vidiq.com/fr/youtube-stats/channel/UCX8pnu3DYUnx8qy8V_c6oHg/,1160,$109K - $328K,38 min,2026-02-13T20:51:37.149950,15280000000,100
